,Step,HORSE penalty,CONOP penalty,Spearmans rho of horizon,Spearmans rho p-value of horizon,Kendalls tau of horizon,Kendalls tau p-value of horizon,Kruskal s^2 of horizon,Spearmans rho of event,Spearmans rho p-value of event,Kendalls tau of event,Kendalls tau p-value of event,Kruskal s^2 of event
0,1,29651.0,34932.0,0.6480518009620975,6.5108806842190265e-195,0.48044370385137647,7.802037462375607e-186,0.5106470084334794,0.6601884732913847,4.267533381845579e-262,0.48422493560218477,1.3258149829146817e-241,0.49679628781775886
1,2,28412.0,33803.0,0.6628315410263214,6.115143730973422e-207,0.4993308332048162,1.4481105495481548e-200,0.48265913085484424,0.6764026459183297,6.948833190340721e-280,0.5040412658091264,1.3234131298469523e-261,0.4664357101233544
2,3,27495.0,31878.0,0.6750835241545472,1.914334045319129e-217,0.5064159516725408,3.0793215062547424e-206,0.4752345593778211,0.7152222035274267,0.0,0.542278525923264,1.8418411090040005e-302,0.41292340123050997
3,4,27213.0,31713.0,0.6616718139900845,5.688339823394683e-206,0.49743354410143953,4.636975492195636e-199,0.4870593786425043,0.6935415195410499,5.6305166128632865e-300,0.5196265886851873,6.741663276308603e-278,0.44409975010155067
4,5,26730.0,31396.0,0.6611434315425532,1.5661828739703876e-205,0.49677302870383255,1.5452149863253998e-198,0.48736252030100663,0.7115700728196022,1e-322,0.5359443595560689,1.735174157875947e-295,0.4205575914182565
5,6,25709.0,30027.0,0.6897093091693088,1.1362372579859357e-230,0.5212090892335237,2.443330454431901e-218,0.45124607151057616,0.752643353265618,0.0,0.5772814932063391,0.0,0.36184786229574234
6,7,24666.0,28710.0,0.6801857909755967,5.698036191104816e-222,0.5155728917860621,1.0946342045738221e-213,0.4601875156549204,0.764631017685419,0.0,0.5956887068589503,0.0,0.34212569096750306
7,8,24666.0,28710.0,0.6801857909755967,5.698036191104816e-222,0.5155728917860621,1.0946342045738221e-213,0.4601875156549204,0.764631017685419,0.0,0.5956887068589503,0.0,0.34212569096750306
8,9,24666.0,28710.0,0.6801857909755967,5.698036191104816e-222,0.5155728917860621,1.0946342045738221e-213,0.4601875156549204,0.764631017685419,0.0,0.5956887068589503,0.0,0.34212569096750306
9,10,24240.0,28519.0,0.6827080550485553,3.0472858147737433e-224,0.5174957589344488,2.871374135693072e-215,0.4597835145914366,0.7549074330871264,0.0,0.5851171322420682,0.0,0.35557010443535336
10,11,23240.0,27296.0,0.7038412149925402,3.191448681050416e-244,0.5376136436301264,3.6547340562496914e-232,0.4310195234336247,0.7825488120443652,0.0,0.6166782340413663,0.0,0.3165986178798282
11,12,22884.0,26669.0,0.7046555360868378,4.995052067976344e-245,0.5373774228615061,5.8205981182412074e-232,0.4310836954720264,0.7787948940139373,0.0,0.60896238362901,0.0,0.32393228929947865
12,13,22884.0,26669.0,0.7046555360868378,4.995052067976344e-245,0.5373774228615061,5.8205981182412074e-232,0.4310836954720264,0.7787948940139373,0.0,0.60896238362901,0.0,0.32393228929947865
13,14,22884.0,26669.0,0.7046555360868378,4.995052067976344e-245,0.5373774228615061,5.8205981182412074e-232,0.4310836954720264,0.7787948940139373,0.0,0.60896238362901,0.0,0.32393228929947865
14,15,22884.0,26669.0,0.7046555360868378,4.995052067976344e-245,0.5373774228615061,5.8205981182412074e-232,0.4310836954720264,0.7787948940139373,0.0,0.60896238362901,0.0,0.32393228929947865
15,16,22884.0,26669.0,0.7046555360868378,4.995052067976344e-245,0.5373774228615061,5.8205981182412074e-232,0.4310836954720264,0.7787948940139373,0.0,0.60896238362901,0.0,0.32393228929947865
16,17,22824.0,26641.0,0.7265056501812922,1.0051092538680247e-267,0.5604127092791881,4.3512908630984364e-252,0.39867847723577315,0.7868310345897688,0.0,0.6223348174320794,0.0,0.30780382745739876
17,18,22342.0,26192.0,0.7323575600492179,3.505614904734419e-274,0.5613244913542446,6.677760035137548e-253,0.3952633691616253,0.8077205888660584,0.0,0.6416271867138872,0.0,0.28270403697108476
18,19,22296.0,26219.0,0.7212099328001035,5.042310244915183e-262,0.5537248028045574,3.7052842148456457e-246,0.40649156274101406,0.7926050233527394,0.0,0.6257977145062195,0.0,0.30198092098821866
19,20,22296.0,26219.0,0.7212099328001035,5.042310244915183e-262,0.5537248028045574,3.7052842148456457e-246,0.40649156274101406,0.7926050233527394,0.0,0.6257977145062195,0.0,0.30198092098821866
20,21,22136.0,25725.0,0.7219765439812936,7.685222673068677e-263,0.5615561983502161,4.145390492720551e-253,0.3986410036520286,0.8069921096069168,0.0,0.6519436389954947,0.0,0.2758064884094667
21,22,22136.0,25725.0,0.7219765439812936,7.685222673068677e-263,0.5615561983502161,4.145390492720551e-253,0.3986410036520286,0.8069921096069168,0.0,0.6519436389954947,0.0,0.2758064884094667
22,23,21399.0,25095.0,0.7307595821972382,2.1133588184960243e-272,0.566238485177899,2.599869239156198e-257,0.39261256354948376,0.8036918280257757,0.0,0.6452638230127662,0.0,0.28009423754369905
23,24,21399.0,25095.0,0.7307595821972382,2.1133588184960243e-272,0.566238485177899,2.599869239156198e-257,0.39261256354948376,0.8036918280257757,0.0,0.6452638230127662,0.0,0.28009423754369905
24,25,21210.0,24842.0,0.7257246762419126,7.100566312447358e-267,0.5619804929792027,1.7305042722598124e-253,0.40058427547146475,0.8043482500915775,0.0,0.6455143732631793,0.0,0.28312074991558556
25,26,21210.0,24842.0,0.7257246762419126,7.100566312447358e-267,0.5619804929792027,1.7305042722598124e-253,0.40058427547146475,0.8043482500915775,0.0,0.6455143732631793,0.0,0.28312074991558556
26,27,21009.0,24251.0,0.7423321153153855,1.3641369982085942e-285,0.5769722365367327,4.460081544047943e-267,0.377796819709495,0.8358032904444118,0.0,0.676723424528138,0.0,0.24341583894909102
27,28,21009.0,24251.0,0.7423321153153855,1.3641369982085942e-285,0.5769722365367327,4.460081544047943e-267,0.377796819709495,0.8358032904444118,0.0,0.676723424528138,0.0,0.24341583894909102
28,29,21009.0,24251.0,0.7423321153153855,1.3641369982085942e-285,0.5769722365367327,4.460081544047943e-267,0.377796819709495,0.8358032904444118,0.0,0.676723424528138,0.0,0.24341583894909102
