Event id,Event name,Taxon,Type,Level-Placed
516,F_189,189,0,1000.0000
521,F_196,196,0,1000.0000
249,F_135,135,0,1012.4508
293,F_142,142,0,1012.4508
317,F_145,145,0,1012.4508
391,F_155,155,0,1012.4508
481,F_169,169,0,1012.4508
505,F_176,176,0,1012.4508
510,F_180,180,0,1012.4508
515,F_188,188,0,1012.4508
523,F_198,198,0,1012.4508
526,F_206,206,0,1012.4508
527,F_207,207,0,1012.4508
573,F_29,29,0,1012.4508
679,F_45,45,0,1012.4508
705,F_49,49,0,1012.4508
765,F_58,58,0,1012.4508
803,F_63,63,0,1012.4508
986,F_90,90,0,1012.4508
145,F_121,121,0,1038.8612
154,F_122,122,0,1038.8612
160,F_123,123,0,1038.8612
265,F_137,137,0,1038.8612
370,F_152,152,0,1038.8612
377,F_153,153,0,1038.8612
399,F_156,156,0,1038.8612
492,F_171,171,0,1038.8612
496,F_173,173,0,1038.8612
503,F_175,175,0,1038.8612
506,F_177,177,0,1038.8612
511,F_181,181,0,1038.8612
514,F_186,186,0,1038.8612
517,F_190,190,0,1038.8612
518,F_193,193,0,1038.8612
520,F_195,195,0,1038.8612
522,F_197,197,0,1038.8612
524,F_199,199,0,1038.8612
529,F_211,211,0,1038.8612
535,F_224,224,0,1038.8612
539,F_233,233,0,1038.8612
544,F_24,24,0,1038.8612
549,F_245,245,0,1038.8612
655,F_42,42,0,1038.8612
810,F_64,64,0,1038.8612
866,F_72,72,0,1038.8612
939,F_82,82,0,1038.8612
113,F_117,117,0,1038.8975
303,F_143,143,0,1038.8975
512,F_183,183,0,1038.8975
925,F_80,80,0,1038.8975
424,F_160,160,0,1039.9245
525,F_200,200,0,1039.9245
559,F_261,261,0,1039.9245
1558,L_183,183,1,1039.9245
1701,L_42,42,1,1039.9245
1423,L_153,153,1,1040.5847
1562,L_189,189,1,1040.5847
589,F_315,315,0,1042.2489
1363,L_145,145,1,1042.2489
1549,L_175,175,1,1042.2489
1571,L_200,200,1,1042.2489
1811,L_58,58,1,1042.2489
1912,L_72,72,1,1042.2489
70,F_111,111,0,1044.5716
107,F_116,116,0,1044.5716
342,F_148,148,0,1044.5716
467,F_167,167,0,1044.5716
509,F_178,178,0,1044.5716
528,F_208,208,0,1044.5716
531,F_213,213,0,1044.5716
533,F_220,220,0,1044.5716
536,F_226,226,0,1044.5716
537,F_227,227,0,1044.5716
541,F_235,235,0,1044.5716
542,F_236,236,0,1044.5716
543,F_237,237,0,1044.5716
545,F_240,240,0,1044.5716
555,F_255,255,0,1044.5716
600,F_345,345,0,1044.5716
798,F_62,62,0,1044.5716
1038,F_987,987,0,1044.5716
1191,L_121,121,1,1044.5716
1985,L_82,82,1,1044.5716
2032,L_90,90,1,1044.5716
513,F_185,185,0,1050.9790
534,F_221,221,0,1050.9790
553,F_251,251,0,1050.9790
547,F_242,242,0,1053.6766
558,F_260,260,0,1053.6766
924,F_8,8,0,1053.6766
1416,L_152,152,1,1053.6766
1551,L_176,176,1,1053.6766
1574,L_208,208,1,1053.6766
1583,L_227,227,1,1053.6766
1587,L_235,235,1,1053.6766
1725,L_45,45,1,1053.6766
1856,L_64,64,1,1053.6766
548,F_244,244,0,1056.2274
593,F_330,330,0,1056.2274
1569,L_198,198,1,1060.4161
530,F_212,212,0,1111.3170
1295,L_135,135,1,1111.3170
586,F_311,311,0,1114.7989
1339,L_142,142,1,1114.7989
1575,L_211,211,1,1114.7989
1591,L_240,240,1,1114.7989
550,F_246,246,0,1128.9684
552,F_250,250,0,1128.9684
590,F_323,323,0,1128.9684
1445,L_156,156,1,1128.9684
1470,L_160,160,1,1128.9684
1542,L_173,173,1,1128.9684
1561,L_188,188,1,1128.9684
1849,L_63,63,1,1128.9684
1116,L_111,111,1,1130.3201
1601,L_255,255,1,1163.4996
1605,L_261,261,1,1163.9250
1200,L_122,122,1,1164.6189
1593,L_242,242,1,1164.6189
1619,L_29,29,1,1164.6189
1751,L_49,49,1,1164.6189
568,F_275,275,0,1164.7742
1579,L_220,220,1,1164.7742
538,F_230,230,0,1167.8268
546,F_241,241,0,1167.8268
1159,L_117,117,1,1167.8354
1639,L_330,330,1,1167.8468
1206,L_123,123,1,1169.4426
610,F_363,363,0,1171.8033
627,F_389,389,0,1171.8033
604,F_351,351,0,1180.0695
1595,L_245,245,1,1180.0739
1596,L_246,246,1,1180.0739
562,F_267,267,0,1183.6089
564,F_270,270,0,1183.6089
1584,L_230,230,1,1183.6089
1589,L_237,237,1,1183.6089
551,F_248,248,0,1189.4771
560,F_264,264,0,1189.4771
566,F_272,272,0,1189.4771
1153,L_116,116,1,1189.4771
1590,L_24,24,1,1189.4771
540,F_234,234,0,1192.2908
570,F_285,285,0,1192.2908
532,F_217,217,0,1192.3336
557,F_259,259,0,1192.3336
561,F_265,265,0,1192.3336
569,F_281,281,0,1192.3336
585,F_31,31,0,1192.3336
603,F_349,349,0,1192.3336
1604,L_260,260,1,1192.3336
577,F_296,296,0,1192.6797
567,F_274,274,0,1194.8861
578,F_297,297,0,1194.8861
