Event id,Event name,Taxon,Type,Level-Placed
510,F_180,180,0,1000.0000
512,F_183,183,0,1000.0000
516,F_189,189,0,1000.0000
521,F_196,196,0,1000.0000
655,F_42,42,0,1000.0000
939,F_82,82,0,1003.2098
986,F_90,90,0,1003.2098
1558,L_183,183,1,1003.2098
1701,L_42,42,1,1003.2098
145,F_121,121,0,1009.1998
160,F_123,123,0,1009.1998
370,F_152,152,0,1009.1998
515,F_188,188,0,1009.1998
544,F_24,24,0,1009.1998
765,F_58,58,0,1009.1998
249,F_135,135,0,1011.5023
293,F_142,142,0,1011.5023
317,F_145,145,0,1011.5023
505,F_176,176,0,1011.5023
573,F_29,29,0,1011.5023
679,F_45,45,0,1011.5023
798,F_62,62,0,1011.5023
803,F_63,63,0,1011.5023
1191,L_121,121,1,1011.5023
1416,L_152,152,1,1011.5023
1985,L_82,82,1,1011.5023
2032,L_90,90,1,1011.5023
154,F_122,122,0,1019.9730
377,F_153,153,0,1019.9730
391,F_155,155,0,1019.9730
514,F_186,186,0,1019.9730
525,F_200,200,0,1019.9730
526,F_206,206,0,1019.9730
527,F_207,207,0,1019.9730
492,F_171,171,0,1020.0102
518,F_193,193,0,1020.0102
810,F_64,64,0,1020.0102
1437,L_155,155,1,1020.0102
1844,L_62,62,1,1020.0102
113,F_117,117,0,1020.0248
303,F_143,143,0,1020.0248
503,F_175,175,0,1020.0248
866,F_72,72,0,1020.0248
1363,L_145,145,1,1020.4060
1423,L_153,153,1,1020.4060
1549,L_175,175,1,1020.4060
1562,L_189,189,1,1020.4060
1571,L_200,200,1,1020.4060
1811,L_58,58,1,1020.4060
1912,L_72,72,1,1020.4060
531,F_213,213,0,1022.1939
533,F_220,220,0,1022.1939
536,F_226,226,0,1022.1939
537,F_227,227,0,1022.1939
543,F_237,237,0,1022.1939
70,F_111,111,0,1024.7896
107,F_116,116,0,1024.7896
265,F_137,137,0,1024.7896
424,F_160,160,0,1024.7896
467,F_167,167,0,1024.7896
481,F_169,169,0,1024.7896
496,F_173,173,0,1024.7896
506,F_177,177,0,1024.7896
509,F_178,178,0,1024.7896
511,F_181,181,0,1024.7896
513,F_185,185,0,1024.7896
517,F_190,190,0,1024.7896
520,F_195,195,0,1024.7896
522,F_197,197,0,1024.7896
523,F_198,198,0,1024.7896
524,F_199,199,0,1024.7896
528,F_208,208,0,1024.7896
529,F_211,211,0,1024.7896
535,F_224,224,0,1024.7896
541,F_235,235,0,1024.7896
542,F_236,236,0,1024.7896
924,F_8,8,0,1024.7896
1295,L_135,135,1,1024.7896
1339,L_142,142,1,1024.7896
1551,L_176,176,1,1024.7896
1561,L_188,188,1,1024.7896
1579,L_220,220,1,1024.7896
1583,L_227,227,1,1024.7896
1619,L_29,29,1,1024.7896
1725,L_45,45,1,1024.7896
1849,L_63,63,1,1024.7896
1856,L_64,64,1,1024.7896
342,F_148,148,0,1025.6687
534,F_221,221,0,1025.6687
705,F_49,49,0,1025.6687
925,F_80,80,0,1025.6687
1574,L_208,208,1,1025.6687
1587,L_235,235,1,1025.6687
539,F_233,233,0,1028.3614
545,F_240,240,0,1028.3614
1153,L_116,116,1,1028.3614
1470,L_160,160,1,1028.3614
1542,L_173,173,1,1028.3614
1557,L_181,181,1,1028.3614
1569,L_198,198,1,1028.3614
1751,L_49,49,1,1028.3614
547,F_242,242,0,1033.5522
553,F_251,251,0,1033.5522
1970,L_8,8,1,1033.5522
