Event id,Event name,Taxon,Type,Level-Placed
107,F_116,116,0,1000.0000
265,F_137,137,0,1000.0000
511,F_181,181,0,1000.0000
516,F_189,189,0,1000.0000
521,F_196,196,0,1000.0000
522,F_197,197,0,1000.0000
527,F_207,207,0,1000.0000
541,F_235,235,0,1000.0000
544,F_24,24,0,1000.0000
559,F_261,261,0,1000.0000
593,F_330,330,0,1000.0000
798,F_62,62,0,1000.0000
986,F_90,90,0,1000.0000
47,F_1077,1077,0,1012.0408
160,F_123,123,0,1012.0408
249,F_135,135,0,1012.0408
293,F_142,142,0,1012.0408
317,F_145,145,0,1012.0408
424,F_160,160,0,1012.0408
505,F_176,176,0,1012.0408
506,F_177,177,0,1012.0408
509,F_178,178,0,1012.0408
512,F_183,183,0,1012.0408
515,F_188,188,0,1012.0408
520,F_195,195,0,1012.0408
524,F_199,199,0,1012.0408
526,F_206,206,0,1012.0408
528,F_208,208,0,1012.0408
535,F_224,224,0,1012.0408
542,F_236,236,0,1012.0408
545,F_240,240,0,1012.0408
556,F_258,258,0,1012.0408
573,F_29,29,0,1012.0408
589,F_315,315,0,1012.0408
679,F_45,45,0,1012.0408
765,F_58,58,0,1012.0408
803,F_63,63,0,1012.0408
924,F_8,8,0,1012.0408
370,F_152,152,0,1037.5816
492,F_171,171,0,1037.5816
496,F_173,173,0,1037.5816
514,F_186,186,0,1037.5816
705,F_49,49,0,1037.5816
866,F_72,72,0,1037.5816
925,F_80,80,0,1037.5816
70,F_111,111,0,1037.6179
113,F_117,117,0,1037.6179
145,F_121,121,0,1037.6179
154,F_122,122,0,1037.6179
303,F_143,143,0,1037.6179
391,F_155,155,0,1037.6179
467,F_167,167,0,1037.6179
481,F_169,169,0,1037.6179
510,F_180,180,0,1037.6179
513,F_185,185,0,1037.6179
525,F_200,200,0,1037.6179
810,F_64,64,0,1037.6179
939,F_82,82,0,1037.6179
377,F_153,153,0,1039.8289
399,F_156,156,0,1039.8289
503,F_175,175,0,1039.8289
517,F_190,190,0,1039.8289
518,F_193,193,0,1039.8289
539,F_233,233,0,1039.8289
549,F_245,245,0,1039.8289
655,F_42,42,0,1039.8289
1191,L_121,121,1,1039.8289
1363,L_145,145,1,1040.4674
2032,L_90,90,1,1040.4674
555,F_255,255,0,1041.2314
746,F_553,553,0,1041.2314
1423,L_153,153,1,1041.2314
1549,L_175,175,1,1041.2314
1558,L_183,183,1,1041.2314
1701,L_42,42,1,1041.2314
1811,L_58,58,1,1041.2314
342,F_148,148,0,1116.9660
523,F_198,198,0,1116.9660
530,F_212,212,0,1116.9660
1562,L_189,189,1,1116.9660
1571,L_200,200,1,1116.9660
1912,L_72,72,1,1116.9660
529,F_211,211,0,1119.2123
531,F_213,213,0,1119.2123
537,F_227,227,0,1119.2123
543,F_237,237,0,1119.2123
600,F_345,345,0,1119.2123
1587,L_235,235,1,1120.2750
536,F_226,226,0,1120.2981
558,F_260,260,0,1120.2981
1437,L_155,155,1,1120.2981
533,F_220,220,0,1124.7476
553,F_251,251,0,1124.7476
584,F_308,308,0,1124.7476
548,F_244,244,0,1133.1461
1416,L_152,152,1,1133.1461
1579,L_220,220,1,1133.1461
534,F_221,221,0,1136.6905
547,F_242,242,0,1136.6905
1339,L_142,142,1,1136.6905
1470,L_160,160,1,1136.6905
1551,L_176,176,1,1136.6905
1557,L_181,181,1,1136.6905
1574,L_208,208,1,1136.6905
1583,L_227,227,1,1136.6905
1849,L_63,63,1,1136.6905
1970,L_8,8,1,1136.6905
1985,L_82,82,1,1136.6905
1575,L_211,211,1,1139.7557
744,F_550,550,0,1139.8284
1445,L_156,156,1,1139.8284
1569,L_198,198,1,1139.8284
1591,L_240,240,1,1139.8284
1635,L_315,315,1,1139.8284
1116,L_111,111,1,1140.8910
691,F_466,466,0,1141.7293
1200,L_122,122,1,1141.7293
1295,L_135,135,1,1141.7293
1311,L_137,137,1,1141.7293
1542,L_173,173,1,1141.7293
1555,L_178,178,1,1141.7293
1725,L_45,45,1,1141.7293
1856,L_64,64,1,1141.7293
807,F_636,636,0,1141.7429
1619,L_29,29,1,1141.7429
1639,L_330,330,1,1141.7429
