Event id,Event name,Taxon,Type,Level-Placed
145,F_121,121,0,1000.0000
160,F_123,123,0,1000.0000
510,F_180,180,0,1000.0000
512,F_183,183,0,1000.0000
516,F_189,189,0,1000.0000
521,F_196,196,0,1000.0000
559,F_261,261,0,1000.0000
655,F_42,42,0,1000.0000
798,F_62,62,0,1003.2007
1558,L_183,183,1,1003.2007
1701,L_42,42,1,1003.2007
505,F_176,176,0,1009.1908
249,F_135,135,0,1010.6843
370,F_152,152,0,1010.6843
515,F_188,188,0,1010.6843
573,F_29,29,0,1010.6843
593,F_330,330,0,1010.6843
765,F_58,58,0,1010.6843
803,F_63,63,0,1010.6843
939,F_82,82,0,1010.6843
1605,L_261,261,1,1010.6843
293,F_142,142,0,1010.7206
317,F_145,145,0,1010.7206
391,F_155,155,0,1010.7206
544,F_24,24,0,1010.7206
679,F_45,45,0,1010.7206
1639,L_330,330,1,1010.7206
154,F_122,122,0,1017.0736
986,F_90,90,0,1017.0736
1844,L_62,62,1,1017.1033
113,F_117,117,0,1018.2445
377,F_153,153,0,1018.2445
514,F_186,186,0,1018.2445
525,F_200,200,0,1018.2445
526,F_206,206,0,1018.2445
527,F_207,207,0,1018.2445
810,F_64,64,0,1018.2445
866,F_72,72,0,1018.2445
1191,L_121,121,1,1018.2445
1416,L_152,152,1,1018.2445
1437,L_155,155,1,1018.2445
1985,L_82,82,1,1018.2445
2032,L_90,90,1,1018.2445
303,F_143,143,0,1018.2549
492,F_171,171,0,1018.2549
503,F_175,175,0,1018.2549
518,F_193,193,0,1018.2549
1363,L_145,145,1,1018.5272
1423,L_153,153,1,1018.5272
1549,L_175,175,1,1018.5272
1562,L_189,189,1,1018.5272
1571,L_200,200,1,1018.5272
1811,L_58,58,1,1018.5272
1912,L_72,72,1,1018.5272
531,F_213,213,0,1019.8043
533,F_220,220,0,1019.8043
536,F_226,226,0,1019.8043
537,F_227,227,0,1019.8043
543,F_237,237,0,1019.8043
424,F_160,160,0,1021.6583
517,F_190,190,0,1021.6583
555,F_255,255,0,1021.6583
1295,L_135,135,1,1021.6583
1339,L_142,142,1,1021.6583
1551,L_176,176,1,1021.6583
1561,L_188,188,1,1021.6583
1583,L_227,227,1,1021.6583
1619,L_29,29,1,1021.6583
1725,L_45,45,1,1021.6583
1849,L_63,63,1,1021.6583
1856,L_64,64,1,1021.6583
107,F_116,116,0,1054.3053
342,F_148,148,0,1054.3053
467,F_167,167,0,1054.3053
496,F_173,173,0,1054.3053
506,F_177,177,0,1054.3053
509,F_178,178,0,1054.3053
511,F_181,181,0,1054.3053
513,F_185,185,0,1054.3053
520,F_195,195,0,1054.3053
522,F_197,197,0,1054.3053
523,F_198,198,0,1054.3053
524,F_199,199,0,1054.3053
535,F_224,224,0,1054.3053
705,F_49,49,0,1054.3053
924,F_8,8,0,1054.3053
925,F_80,80,0,1054.3053
1579,L_220,220,1,1054.3053
1601,L_255,255,1,1054.3053
70,F_111,111,0,1056.1662
481,F_169,169,0,1056.1662
528,F_208,208,0,1056.1662
529,F_211,211,0,1056.1662
539,F_233,233,0,1056.1662
541,F_235,235,0,1056.1662
542,F_236,236,0,1056.1662
545,F_240,240,0,1056.1662
1153,L_116,116,1,1056.1662
1470,L_160,160,1,1056.1662
1542,L_173,173,1,1056.1662
1555,L_178,178,1,1056.1662
1557,L_181,181,1,1056.1662
1751,L_49,49,1,1056.1662
1970,L_8,8,1,1056.1662
265,F_137,137,0,1056.6390
530,F_212,212,0,1056.6390
534,F_221,221,0,1056.6390
1569,L_198,198,1,1056.6390
1574,L_208,208,1,1056.6390
1587,L_235,235,1,1056.6390
553,F_251,251,0,1059.9239
399,F_156,156,0,1063.3455
547,F_242,242,0,1063.3455
548,F_244,244,0,1063.3455
1445,L_156,156,1,1065.3544
1575,L_211,211,1,1065.3544
1591,L_240,240,1,1065.3544
568,F_275,275,0,1068.9226
1200,L_122,122,1,1069.5407
622,F_384,384,0,1089.2525
1311,L_137,137,1,1089.2525
576,F_295,295,0,1091.9965
1116,L_111,111,1,1091.9965
1593,L_242,242,1,1091.9965
1668,L_384,384,1,1094.1627
546,F_241,241,0,1096.8552
1585,L_233,233,1,1096.8552
582,F_303,303,0,1096.8676
538,F_230,230,0,1101.4785
1388,L_148,148,1,1101.4785
1513,L_167,167,1,1101.4785
1563,L_190,190,1,1101.4785
1568,L_197,197,1,1101.4785
1570,L_199,199,1,1101.4785
1580,L_221,221,1,1101.4785
1584,L_230,230,1,1101.4860
1589,L_237,237,1,1101.4860
550,F_246,246,0,1109.9884
552,F_250,250,0,1109.9884
549,F_245,245,0,1111.6300
1206,L_123,123,1,1111.6300
1559,L_185,185,1,1111.6300
1566,L_195,195,1,1111.6300
1590,L_24,24,1,1111.6300
1159,L_117,117,1,1111.6342
1595,L_245,245,1,1111.6342
1971,L_80,80,1,1111.6342
564,F_270,270,0,1111.7641
566,F_272,272,0,1113.9460
562,F_267,267,0,1117.0150
1596,L_246,246,1,1117.0150
558,F_260,260,0,1122.6614
560,F_264,264,0,1122.6614
561,F_265,265,0,1122.6614
567,F_274,274,0,1122.6614
589,F_315,315,0,1122.6614
551,F_248,248,0,1125.1042
569,F_281,281,0,1125.1042
532,F_217,217,0,1125.1462
585,F_31,31,0,1125.1462
1604,L_260,260,1,1125.1462
1635,L_315,315,1,1125.1462
540,F_234,234,0,1125.4886
579,F_298,298,0,1125.4886
557,F_259,259,0,1127.7019
577,F_296,296,0,1127.7019
578,F_297,297,0,1127.7019
627,F_389,389,0,1127.7019
570,F_285,285,0,1127.9578
1581,L_224,224,1,1127.9578
1538,L_171,171,1,1127.9635
1567,L_196,196,1,1127.9635
1588,L_236,236,1,1127.9635
1592,L_241,241,1,1127.9635
1607,L_265,265,1,1127.9635
1610,L_270,270,1,1127.9635
1606,L_264,264,1,1128.3420
1612,L_272,272,1,1128.3420
572,F_289,289,0,1129.4056
580,F_300,300,0,1129.8926
581,F_302,302,0,1129.8926
1556,L_180,180,1,1129.8926
571,F_287,287,0,1131.8421
1599,L_251,251,1,1131.8466
1564,L_193,193,1,1131.8523
1613,L_274,274,1,1131.8523
565,F_271,271,0,1132.0334
1527,L_169,169,1,1132.0334
1625,L_298,298,1,1132.5441
575,F_294,294,0,1132.5703
592,F_328,328,0,1132.5703
1577,L_213,213,1,1132.5703
1578,L_217,217,1,1132.5703
