Event id,Event name,Taxon,Type,Level-Placed
5,F_Amplexograptus latus,Amplexograptus latus,0,1000.0000
6,F_Amplexograptus longispinus,Amplexograptus longispinus,0,1000.0000
139,F_Rectograptus socialis,Rectograptus socialis,0,1000.0000
11,F_Appendispinograptus longispinus hvalross,Appendispinograptus longispinus hvalross,0,1028.5956
27,F_Dicellograptus complanatus,Dicellograptus complanatus,0,1028.5956
134,F_Pseudoclimacograptus chiai,Pseudoclimacograptus chiai,0,1028.5956
137,F_Rectograptus intermedius,Rectograptus intermedius,0,1028.5956
152,L_Amplexograptus longispinus,Amplexograptus longispinus,1,1028.5956
29,F_Dicellograptus complexus,Dicellograptus complexus,0,1038.5138
285,L_Rectograptus socialis,Rectograptus socialis,1,1042.0571
8,F_Anticostia uniformis,Anticostia uniformis,0,1043.6274
33,F_Dicellograptus ornatus,Dicellograptus ornatus,0,1043.6274
35,F_Dicellograptus tenuiculus,Dicellograptus tenuiculus,0,1043.6274
126,F_Paraorthograptus tenuis,Paraorthograptus tenuis,0,1043.6274
128,F_Paraplegmatograptus connectus,Paraplegmatograptus connectus,0,1043.6274
141,F_Rectograptus uniformis,Rectograptus uniformis,0,1043.6274
173,L_Dicellograptus complanatus,Dicellograptus complanatus,1,1043.6274
280,L_Pseudoclimacograptus chiai,Pseudoclimacograptus chiai,1,1043.6274
9,F_Appendispinograptus hubeiensis,Appendispinograptus hubeiensis,0,1045.9412
37,F_Dicellograptus turgidus,Dicellograptus turgidus,0,1045.9412
130,F_Pararetiograptus magnus,Pararetiograptus magnus,0,1045.9412
181,L_Dicellograptus tenuiculus,Dicellograptus tenuiculus,1,1045.9412
283,L_Rectograptus intermedius,Rectograptus intermedius,1,1045.9412
7,F_Anticostia fastigata,Anticostia fastigata,0,1050.0736
13,F_Appendispinograptus supernus,Appendispinograptus supernus,0,1070.7354
26,F_Dicellograptus anceps,Dicellograptus anceps,0,1070.7354
